CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisits,Churn
100,63.0,Male,Philadelphia,Gold,64.0,9197.3,Clothing,2023-06-07 09:39:46.585300,Manager,64,0
101,65.0,Female,New York,Silver,110.0,9983.34,Home Goods,2023-12-21 09:39:46.585300,,66,1
102,18.0,,,Bronze,148.0,3746.29,Electronics,2023-07-10 09:39:46.585300,Artist,51,0
103,,Other,Los Angeles,Bronze,178.0,7439.9,Electronics,2023-09-30 09:39:46.585300,Engineer,84,1
104,21.0,Male,Phoenix,Bronze,25.0,3398.2,Home Goods,2023-06-22 09:39:46.585300,Manager,88,1
105,57.0,Female,Los Angeles,Bronze,,8381.99,Clothing,2023-09-08 09:39:46.585300,Artist,38,1
106,27.0,Other,Phoenix,Silver,151.0,6191.93,Electronics,2023-11-29 09:39:46.585300,Teacher,80,1
107,38.0,Other,,Platinum,105.0,,Electronics,2023-05-04 09:39:46.585300,Teacher,82,1
108,41.0,Female,Los Angeles,Bronze,20.0,6177.31,Clothing,2023-02-25 09:39:46.585300,Teacher,25,1
109,68.0,Male,Phoenix,Gold,72.0,5698.0,Home Goods,2023-11-26 09:39:46.585300,Artist,37,0
110,54.0,Male,New York,Bronze,60.0,7086.91,Clothing,2023-12-17 09:39:46.585300,Engineer,30,1
111,40.0,Male,Philadelphia,,138.0,963.54,Clothing,2023-10-01 09:39:46.585300,Teacher,36,1
112,24.0,Male,Houston,Gold,29.0,,Clothing,2023-10-18 09:39:46.585300,Doctor,71,1
113,41.0,Male,Los Angeles,,8.0,,Electronics,2023-07-06 09:39:46.585300,Teacher,69,0
114,41.0,Male,Philadelphia,Gold,,2672.55,Clothing,2023-12-22 09:39:46.585300,Doctor,3,1
115,32.0,Male,Chicago,Silver,117.0,5094.16,Electronics,2023-04-11 09:39:46.585300,,76,1
116,18.0,Other,Houston,Platinum,68.0,6869.05,Clothing,2023-10-02 09:39:46.585300,Engineer,25,0
117,55.0,Male,Philadelphia,Gold,5.0,3974.7,Home Goods,2023-11-10 09:39:46.585300,Teacher,85,0
118,57.0,Male,,,80.0,8653.55,Electronics,2023-03-10 09:39:46.585300,Manager,49,0
119,42.0,Male,Phoenix,Bronze,73.0,1527.75,Electronics,2023-10-28 09:39:46.585300,Doctor,57,0
120,,Female,Los Angeles,Bronze,18.0,9718.77,Home Goods,2023-10-21 09:39:46.585300,,2,1
121,45.0,Male,Phoenix,Platinum,105.0,8387.27,Home Goods,2023-09-21 09:39:46.585300,Engineer,75,0
122,35.0,Other,Houston,Silver,197.0,,Electronics,2023-11-18 09:39:46.585300,Teacher,93,1
123,55.0,Male,New York,Platinum,14.0,199.22,Electronics,2023-07-07 09:39:46.585300,Manager,55,1
124,43.0,Other,Los Angeles,Silver,84.0,2052.79,Home Goods,2023-05-02 09:39:46.585300,Engineer,65,0
125,32.0,Female,Los Angeles,Bronze,47.0,8661.65,Clothing,2023-04-10 09:39:46.585300,Artist,52,0
126,27.0,Female,Philadelphia,Bronze,115.0,8674.67,Home Goods,2023-06-23 09:39:46.585300,Doctor,91,1
127,27.0,Other,Philadelphia,Gold,131.0,7923.79,Home Goods,2024-01-04 09:39:46.585300,Artist,54,0
